day,period,subject,teacher,room,is_substituted,substitute_teacher,substitute_room
Monday,1,การผลิตสื่อผสมเพื่องานการตลาด,อ.ธีรวัฒน์,1606,,,
Monday,2,โปรแกรมนำเสนอ,อ.ธีรภาพ,1606,,,
Monday,3,การถ่ายภาพและการถ่ายทอดเพื่องานการตลาด,อ.พลศิต,สตูดิโอ,,,
Monday,4,การถ่ายภาพและการถ่ายทอดเพื่องานการตลาด,อ.พลศิต,สตูดิโอ,,,
Monday,5,พักกลางวัน,,,,,
Monday,6,โฮมรูม (HR),,,,,
Tuesday,1,โปรแกรมนำเสนอ,อ.ธีรภาพ,1406,,,
Tuesday,2,โปรแกรมนำเสนอ,อ.ธีรภาพ,1406,,,
Tuesday,3,โครงงานด้านการตลาด,อ.ศิริญากร,1606,,,
Tuesday,4,การผลิตสื่อผสมเพื่องานการตลาด,อ.ธีรวัฒน์,1606,,,
Tuesday,5,พักกลางวัน,,,,,
Tuesday,6,โฮมรูม (HR),,,,,
Wednesday,1,การถ่ายภาพและการถ่ายทอดเพื่องานการตลาด,อ.พลศิต,1406,,,
Wednesday,2,โปรแกรมนำเสนอ,อ.ธีรภาพ,1407,,,
Wednesday,3,โปรแกรมนำเสนอ,อ.ธีรภาพ,1407,,,
Wednesday,5,พักกลางวัน,,,,,
Wednesday,6,โฮมรูม (HR),,,,,
Thursday,1,โครงงานด้านการตลาด,อ.ศิริญากร,1606,,,
Thursday,2,โครงงานด้านการตลาด,อ.ศิริญากร,1606,,,
Thursday,3,การผลิตสื่อผสมเพื่องานการตลาด,อ.ธีรวัฒน์,1606,,,
Thursday,4,การผลิตสื่อผสมเพื่องานการตลาด,อ.ธีรวัฒน์,1606,,,
Thursday,5,พักกลางวัน,,,,,
Thursday,6,กิจกรรมชมรม,,,,,
Friday,1,การถ่ายภาพและการถ่ายทอดเพื่องานการตลาด,อ.พลศิต,1606,,,
Friday,2,การถ่ายภาพและการถ่ายทอดเพื่องานการตลาด,อ.พลศิต,1606,,,
Friday,3,การผลิตสื่อผสมเพื่องานการตลาด,อ.ธีรวัฒน์,1606,,,
Friday,4,การผลิตสื่อผสมเพื่องานการตลาด,อ.ธีรวัฒน์,1606,,,
Friday,5,พักกลางวัน,,,,,
Friday,6,โฮมรูม (HR),,,,,
